timestamp,datetime,comment-id,voter-id,vote
1687227474887,Tue Jun 20 02:17:54 UTC 2023,0,0,0
1687227516279,Tue Jun 20 02:18:36 UTC 2023,1,0,0
1687227523064,Tue Jun 20 02:18:43 UTC 2023,2,0,0
1687227530113,Tue Jun 20 02:18:50 UTC 2023,3,0,0
1687227583182,Tue Jun 20 02:19:43 UTC 2023,4,0,0
1687227589979,Tue Jun 20 02:19:49 UTC 2023,5,0,0
1687227596415,Tue Jun 20 02:19:56 UTC 2023,6,0,0
1687227602481,Tue Jun 20 02:20:02 UTC 2023,7,0,0
1687227609228,Tue Jun 20 02:20:09 UTC 2023,8,0,0
1687227632414,Tue Jun 20 02:20:32 UTC 2023,9,0,0
1687227637792,Tue Jun 20 02:20:37 UTC 2023,10,0,0
1687227645004,Tue Jun 20 02:20:45 UTC 2023,11,0,0
1687227652849,Tue Jun 20 02:20:52 UTC 2023,12,0,0
1687227658369,Tue Jun 20 02:20:58 UTC 2023,13,0,0
1687227665983,Tue Jun 20 02:21:05 UTC 2023,14,0,0
1687227671565,Tue Jun 20 02:21:11 UTC 2023,15,0,0
1687227679169,Tue Jun 20 02:21:19 UTC 2023,16,0,0
1687227684898,Tue Jun 20 02:21:24 UTC 2023,17,0,0
1687227691815,Tue Jun 20 02:21:31 UTC 2023,18,0,0
1687227698057,Tue Jun 20 02:21:38 UTC 2023,19,0,0
1687227703516,Tue Jun 20 02:21:43 UTC 2023,20,0,0
1687227709727,Tue Jun 20 02:21:49 UTC 2023,21,0,0
1687227715508,Tue Jun 20 02:21:55 UTC 2023,22,0,0
1687227722527,Tue Jun 20 02:22:02 UTC 2023,23,0,0
1687227728914,Tue Jun 20 02:22:08 UTC 2023,24,0,0
1687227736044,Tue Jun 20 02:22:16 UTC 2023,25,0,0
1687227744539,Tue Jun 20 02:22:24 UTC 2023,26,0,0
1687227749690,Tue Jun 20 02:22:29 UTC 2023,27,0,0
1687227755378,Tue Jun 20 02:22:35 UTC 2023,28,0,0
1687227761584,Tue Jun 20 02:22:41 UTC 2023,29,0,0
1687227767289,Tue Jun 20 02:22:47 UTC 2023,30,0,0
1687227777153,Tue Jun 20 02:22:57 UTC 2023,31,0,0
1687227783152,Tue Jun 20 02:23:03 UTC 2023,32,0,0
1687227789282,Tue Jun 20 02:23:09 UTC 2023,33,0,0
1687227798079,Tue Jun 20 02:23:18 UTC 2023,34,0,0
1687227804322,Tue Jun 20 02:23:24 UTC 2023,35,0,0
1687227812430,Tue Jun 20 02:23:32 UTC 2023,36,0,0
1687234626821,Tue Jun 20 04:17:06 UTC 2023,37,0,0
1687234636928,Tue Jun 20 04:17:16 UTC 2023,38,0,0
1687234649757,Tue Jun 20 04:17:29 UTC 2023,39,0,0
1687234660053,Tue Jun 20 04:17:40 UTC 2023,40,0,0
1687234669545,Tue Jun 20 04:17:49 UTC 2023,41,0,0
1687234681685,Tue Jun 20 04:18:01 UTC 2023,42,0,0
1687234698705,Tue Jun 20 04:18:18 UTC 2023,43,0,0
1687234707147,Tue Jun 20 04:18:27 UTC 2023,44,0,0
1687234716984,Tue Jun 20 04:18:36 UTC 2023,45,0,0
1687234735182,Tue Jun 20 04:18:55 UTC 2023,46,0,0
